SheetName,SheetDescription,FieldName,FieldDescription
VeghfNorth,Habitat coefficients for species in northern Alberta,White spruce 140+.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 0-9.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 10-19.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 20-39.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 40-59.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 60-79.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 80-99.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 100-119.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 120-139.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Pine 140+.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 0-9.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 10-19.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 20-39.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 40-59.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 60-79.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 80-99.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 100-119.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 120-139.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Deciduous 140+.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 0-9.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 10-19.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 20-39.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 40-59.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 60-79.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 80-99.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 100-119.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 120-139.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Mixedwood 140+.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 0-9.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 10-19.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 20-39.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 40-59.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 60-79.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 80-99.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 100-119.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 120-139.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed bog 140+.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed fen.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Treed swamp.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrubby swamp.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrubby bog.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrubby fen.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Graminoid fen.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Marsh.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Shrub.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Grass/herb.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Cropland.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Tame pasture.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Rough pasture.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Well sites.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Rural residential.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Urban/Industrial.UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,Industrial (rural).UCL,Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, White spruce 0-9.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, white spruce 10-19.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, white spruce 20-39.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, white spruce 40-59.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, white spruce 60-79.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 0-9.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 10-19.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 20-39.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 40-59.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, pine 60-79.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 0-9.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 10-19.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 20-39.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 40-59.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, deciduous 60-79.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 0-9.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 10-19.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 20-39.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 40-59.UCL",Upper confidence limit
VeghfNorth,Habitat coefficients for species in northern Alberta,"Harvest, mixedwood 60-79.UCL",Upper confidence limit
LinearNorth,Species' responses to linear features in northern Alberta,SpeciesID,Unique ID for species
LinearNorth,Species' responses to linear features in northern Alberta,ScientificName,Scientific name of species
LinearNorth,Species' responses to linear features in northern Alberta,CommonName,Common name
LinearNorth,Species' responses to linear features in northern Alberta,TSNID,Taxonomic serial number
LinearNorth,Species' responses to linear features in northern Alberta,Group,Taxonomic group
LinearNorth,Species' responses to linear features in northern Alberta,AverageCoef,Average relative abundance in northern land cover classes
LinearNorth,Species' responses to linear features in northern Alberta,SoftLin10,Average relative abundance when 10% of the survey area is covered by soft linear features
LinearNorth,Species' responses to linear features in northern Alberta,HardLin10,Average relative abundance when 10% of the survey area is covered by hard linear features
LinearNorth,Species' responses to linear features in northern Alberta,AverageCoef.LCL,Lower confidence limit
LinearNorth,Species' responses to linear features in northern Alberta,SoftLin10.LCL,Lower confidence limit
LinearNorth,Species' responses to linear features in northern Alberta,HardLin10.LCL,Lower confidence limit
LinearNorth,Species' responses to linear features in northern Alberta,AverageCoef.UCL,Upper confidence limit
LinearNorth,Species' responses to linear features in northern Alberta,SoftLin10.UCL,Upper confidence limit
LinearNorth,Species' responses to linear features in northern Alberta,HardLin10.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",SpeciesID,Unique ID for species
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",ScientificName,Scientific name of species
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",CommonName,Common name
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",TSNID,Taxonomic serial number
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Group,Taxonomic group
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Loamy,Loamy
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Sandy/loamy,Sandy/loamy
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Rapid drain,Rapid drain
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Clay,Clay soil
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Thin break,Thin break
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Blowout,Blowout
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Other soil types,Other soil types
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Cropland,Cropland
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Tame pasture,Tame pasture
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Rough pasture,Rough pasture
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Well sites,Well sites
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Rural residential,Rural residential
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Urban/Industrial,Urban/Industrial
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Industrial (rural),Industrial (rural)
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Loamy.LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Sandy/loamy.LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Rapid drain.LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Clay.LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Thin break.LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Blowout.LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Other soil types.LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Cropland.LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Tame pasture.LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Rough pasture.LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Well sites.LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Rural residential.LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Urban/Industrial.LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Industrial (rural).LCL,Lower confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Loamy.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Sandy/loamy.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Rapid drain.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Clay.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Thin break.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Blowout.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Other soil types.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Cropland.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Tame pasture.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Rough pasture.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Well sites.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Rural residential.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Urban/Industrial.UCL,Upper confidence limit
SoilhfSouthNontreed,"Habitat coefficients for species in southern Alberta, non-treed habitats",Industrial (rural).UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",SpeciesID,Unique ID for species
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",ScientificName,Scientific name of species
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",CommonName,Common name
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",TSNID,Taxonomic serial number
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Group,Taxonomic group
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Loamy,Loamy
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Sandy/loamy,Sandy/loamy
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Rapid drain,Rapid drain
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Clay,Clay soil
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Thin break,Thin break
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Blowout,Blowout
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Other soil types,Other soil types
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Cropland,Cropland
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Tame pasture,Tame pasture
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Rough pasture,Rough pasture
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Well sites,Well sites
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Rural residential,Rural residential
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Urban/Industrial,Urban/Industrial
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Industrial (rural),Industrial (rural)
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Loamy.LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Sandy/loamy.LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Rapid drain.LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Clay.LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Thin break.LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Blowout.LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Other soil types.LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Cropland.LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Tame pasture.LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Rough pasture.LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Well sites.LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Rural residential.LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Urban/Industrial.LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Industrial (rural).LCL,Lower confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Loamy.UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Sandy/loamy.UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Rapid drain.UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Clay.UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Thin break.UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Blowout.UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Other soil types.UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Cropland.UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Tame pasture.UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Rough pasture.UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Well sites.UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Rural residential.UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Urban/Industrial.UCL,Upper confidence limit
SoilhfSouthTreed,"Habitat coefficients for species in southern Alberta, treed habitats",Industrial (rural).UCL,Upper confidence limit
LinearSouth,Species' responses to linear features in southern Alberta,SpeciesID,Unique ID for species
LinearSouth,Species' responses to linear features in southern Alberta,ScientificName,Scientific name of species
LinearSouth,Species' responses to linear features in southern Alberta,CommonName,Common name
LinearSouth,Species' responses to linear features in southern Alberta,TSNID,Taxonomic serial number
LinearSouth,Species' responses to linear features in southern Alberta,Group,Taxonomic group
LinearSouth,Species' responses to linear features in southern Alberta,AverageCoef,Average relative abundance in northern land cover classes
LinearSouth,Species' responses to linear features in southern Alberta,SoftLin10,Average relative abundance when 10% of the survey area is covered by soft linear features
LinearSouth,Species' responses to linear features in southern Alberta,HardLin10,Average relative abundance when 10% of the survey area is covered by hard linear features
LinearSouth,Species' responses to linear features in southern Alberta,AverageCoef.LCL,Lower confidence limit
LinearSouth,Species' responses to linear features in southern Alberta,SoftLin10.LCL,Lower confidence limit
LinearSouth,Species' responses to linear features in southern Alberta,HardLin10.LCL,Lower confidence limit
LinearSouth,Species' responses to linear features in southern Alberta,AverageCoef.UCL,Upper confidence limit
LinearSouth,Species' responses to linear features in southern Alberta,SoftLin10.UCL,Upper confidence limit
LinearSouth,Species' responses to linear features in southern Alberta,HardLin10.UCL,Upper confidence limit
SectorNorth,Sector effects summaries for species in northern Alberta,SpeciesID,Unique ID for species
SectorNorth,Sector effects summaries for species in northern Alberta,ScientificName,Scientific name of species
SectorNorth,Sector effects summaries for species in northern Alberta,CommonName,Common name
SectorNorth,Sector effects summaries for species in northern Alberta,TSNID,Taxonomic serial number
SectorNorth,Sector effects summaries for species in northern Alberta,Group,Taxonomic group
SectorNorth,Sector effects summaries for species in northern Alberta,area.Agriculture,
SectorNorth,Sector effects summaries for species in northern Alberta,area.Forestry,
SectorNorth,Sector effects summaries for species in northern Alberta,area.Energy,
SectorNorth,Sector effects summaries for species in northern Alberta,area.RuralUrban,
SectorNorth,Sector effects summaries for species in northern Alberta,area.Transportation,
SectorNorth,Sector effects summaries for species in northern Alberta,regional.Agriculture,
SectorNorth,Sector effects summaries for species in northern Alberta,regional.Forestry,
SectorNorth,Sector effects summaries for species in northern Alberta,regional.Energy,
SectorNorth,Sector effects summaries for species in northern Alberta,regional.RuralUrban,
SectorNorth,Sector effects summaries for species in northern Alberta,regional.Transportation,
SectorNorth,Sector effects summaries for species in northern Alberta,underhf.Agriculture,
SectorNorth,Sector effects summaries for species in northern Alberta,underhf.Forestry,
SectorNorth,Sector effects summaries for species in northern Alberta,underhf.Energy,
SectorNorth,Sector effects summaries for species in northern Alberta,underhf.RuralUrban,
SectorNorth,Sector effects summaries for species in northern Alberta,underhf.Transportation,
SectorNorth,Sector effects summaries for species in northern Alberta,unit.Agriculture,
SectorNorth,Sector effects summaries for species in northern Alberta,unit.Forestry,
SectorNorth,Sector effects summaries for species in northern Alberta,unit.Energy,
SectorNorth,Sector effects summaries for species in northern Alberta,unit.RuralUrban,
SectorNorth,Sector effects summaries for species in northern Alberta,unit.Transportation,
SectorSouth,Sector effects summaries for species in southern Alberta,SpeciesID,Unique ID for species
SectorSouth,Sector effects summaries for species in southern Alberta,ScientificName,Scientific name of species
SectorSouth,Sector effects summaries for species in southern Alberta,CommonName,Common name
SectorSouth,Sector effects summaries for species in southern Alberta,TSNID,Taxonomic serial number
SectorSouth,Sector effects summaries for species in southern Alberta,Group,Taxonomic group
SectorSouth,Sector effects summaries for species in southern Alberta,area.Agriculture,
SectorSouth,Sector effects summaries for species in southern Alberta,area.Forestry,
SectorSouth,Sector effects summaries for species in southern Alberta,area.Energy,
SectorSouth,Sector effects summaries for species in southern Alberta,area.RuralUrban,
SectorSouth,Sector effects summaries for species in southern Alberta,area.Transportation,
SectorSouth,Sector effects summaries for species in southern Alberta,regional.Agriculture,
SectorSouth,Sector effects summaries for species in southern Alberta,regional.Forestry,
SectorSouth,Sector effects summaries for species in southern Alberta,regional.Energy,
SectorSouth,Sector effects summaries for species in southern Alberta,regional.RuralUrban,
SectorSouth,Sector effects summaries for species in southern Alberta,regional.Transportation,
SectorSouth,Sector effects summaries for species in southern Alberta,underhf.Agriculture,
SectorSouth,Sector effects summaries for species in southern Alberta,underhf.Forestry,
SectorSouth,Sector effects summaries for species in southern Alberta,underhf.Energy,
SectorSouth,Sector effects summaries for species in southern Alberta,underhf.RuralUrban,
SectorSouth,Sector effects summaries for species in southern Alberta,underhf.Transportation,
SectorSouth,Sector effects summaries for species in southern Alberta,unit.Agriculture,
SectorSouth,Sector effects summaries for species in southern Alberta,unit.Forestry,
SectorSouth,Sector effects summaries for species in southern Alberta,unit.Energy,
SectorSouth,Sector effects summaries for species in southern Alberta,unit.RuralUrban,
SectorSouth,Sector effects summaries for species in southern Alberta,unit.Transportation,
Metadata,Metadata,SheetName,Sheet name
Metadata,Metadata,SheetDescription,Sheet description
Metadata,Metadata,FieldName,Field name
Metadata,Metadata,FieldDescription,Field description
